Step,Grid,Goal,Move
13,"[1, 2, 3, 6, 0, 8, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
14,"[1, 2, 3, 0, 6, 8, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
15,"[1, 2, 3, 4, 6, 8, 0, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[1, 2, 3, 4, 6, 8, 7, 0, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
17,"[1, 2, 3, 4, 6, 8, 7, 5, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
18,"[1, 2, 3, 4, 6, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
19,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
21,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[7, 1, 8, 3, 0, 2, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
2,"[7, 1, 8, 0, 3, 2, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
3,"[0, 1, 8, 7, 3, 2, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
4,"[1, 0, 8, 7, 3, 2, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
5,"[1, 3, 8, 7, 0, 2, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[1, 3, 8, 7, 2, 0, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[1, 3, 0, 7, 2, 8, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[1, 0, 3, 7, 2, 8, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[1, 2, 3, 7, 0, 8, 5, 6, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
10,"[1, 2, 3, 7, 6, 8, 5, 0, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[1, 2, 3, 7, 6, 8, 5, 4, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
12,"[1, 2, 3, 7, 6, 0, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
13,"[1, 2, 3, 7, 0, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
14,"[1, 2, 3, 7, 4, 6, 5, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
15,"[1, 2, 3, 7, 4, 6, 0, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
16,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
17,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
18,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
19,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[6, 2, 0, 1, 7, 3, 4, 8, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[6, 2, 3, 1, 7, 0, 4, 8, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[6, 2, 3, 1, 7, 5, 4, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[6, 2, 3, 1, 7, 5, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[6, 2, 3, 1, 0, 5, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
6,"[6, 2, 3, 1, 5, 0, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[6, 2, 0, 1, 5, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[6, 0, 2, 1, 5, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[0, 6, 2, 1, 5, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[1, 6, 2, 0, 5, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[1, 6, 2, 4, 5, 3, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[1, 6, 2, 4, 5, 3, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[1, 6, 2, 4, 0, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
14,"[1, 0, 2, 4, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
15,"[1, 2, 0, 4, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
16,"[1, 2, 3, 4, 6, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
17,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
18,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
19,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[8, 4, 5, 6, 0, 7, 2, 1, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
2,"[8, 0, 5, 6, 4, 7, 2, 1, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
3,"[0, 8, 5, 6, 4, 7, 2, 1, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[6, 8, 5, 0, 4, 7, 2, 1, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
5,"[6, 8, 5, 2, 4, 7, 0, 1, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[6, 8, 5, 2, 4, 7, 1, 0, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[6, 8, 5, 2, 0, 7, 1, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[6, 0, 5, 2, 8, 7, 1, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
9,"[0, 6, 5, 2, 8, 7, 1, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[2, 6, 5, 0, 8, 7, 1, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[2, 6, 5, 1, 8, 7, 0, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[2, 6, 5, 1, 8, 7, 4, 0, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[2, 6, 5, 1, 0, 7, 4, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
14,"[2, 6, 5, 1, 7, 0, 4, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[2, 6, 5, 1, 7, 3, 4, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[2, 6, 5, 1, 7, 3, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
17,"[2, 6, 5, 1, 0, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
18,"[2, 0, 5, 1, 6, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
19,"[2, 5, 0, 1, 6, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
